field_trial_id,Table number,Treatment 1,Hectolitre weight (kg/hL),Protein (%),Screenings (%),Grain yield (t/ha).3,Moisture (%),Cost ($/ha),Rainfall (mm).1,Grade (grade),Average net margin ($/ha),Total Revenue ($/ha),Price ($/t)
9176138,1,NAPPL1,,,,2.86,,,,,,,
9176138,1,NAPPL1,,,,2.77,,,,,,,
9176138,1,NAPPL1,,,,2.09,,,,,,,
9176138,1,Nil,,,,1.45,,,,,,,
9176138,1,Nil,,,,2.09,,,,,,,
9176138,1,Nil,,,,2.05,,,,,,,
9176138,1,NAPPL2,,,,1.64,,,,,,,
9176138,1,NAPPL2,,,,1.91,,,,,,,
9176138,1,NAPPL2,,,,2.68,,,,,,,
9176138,1,NAPPL3,,,,3.18,,,,,,,
9176138,1,NAPPL3,,,,3.09,,,,,,,
9176138,1,NAPPL3,,,,3.05,,,,,,,
9176138,1,NAPPL4,,,,3.41,,,,,,,
9176138,1,NAPPL4,,,,3.36,,,,,,,
9176138,1,NAPPL4,,,,2.95,,,,,,,
9176138,2,Nil,,,,3.33,,,,,,,
9176138,2,Nil,,,,3.19,,,,,,,
9176138,2,Nil,,,,3.18,,,,,,,
9176138,2,NAPPL1,,,,3.55,,,,,,,
9176138,2,NAPPL1,,,,3.42,,,,,,,
9176138,2,NAPPL1,,,,3.48,,,,,,,
9176138,2,NAPPL2,,,,4.17,,,,,,,
9176138,2,NAPPL2,,,,3.65,,,,,,,
9176138,2,NAPPL2,,,,3.93,,,,,,,
9176138,2,NAPPL3,,,,4.21,,,,,,,
9176138,2,NAPPL3,,,,3.57,,,,,,,
9176138,2,NAPPL3,,,,3.29,,,,,,,
9176138,2,NAPPL4,,,,3.67,,,,,,,
9176138,2,NAPPL4,,,,3.57,,,,,,,
9176138,2,NAPPL4,,,,3.6,,,,,,,
9176138,3,June,,,,,,,80.6,,,,
9176138,3,July,,,,,,,82.8,,,,
9176138,3,August,,,,,,,80.0,,,,
9176138,3,September,,,,,,,16.2,,,,
9176138,3,October,,,,,,,28.8,,,,
9176138,3,Noevmber,,,,,,,43.4,,,,
9176138,3,December,,,,,,,13.4,,,,
9176138,4,June,,,,,,,61.5,,,,
9176138,4,July,,,,,,,129.5,,,,
9176138,4,August,,,,,,,161.5,,,,
9176138,4,September,,,,,,,20.0,,,,
9176138,4,October,,,,,,,26.0,,,,
9176138,4,Noevmber,,,,,,,21.0,,,,
9176138,4,December,,,,,,,20.5,,,,
9176138,5,Control (+100),,,,5.03,,,,,,,
9176138,5,"Farmer Practice (+100, +130)",,,,5.43,,,,,,,
9176138,5,"Split (+100, +65, +65)",,,,5.34,,,,,,,
9176138,5,"High N +65 (+100, +130, +65)",,,,5.29,,,,,,,
9176138,6,Control (+100kg/ha),82.4,9.2,0.95,,9.7,,,,,,
9176138,6,"Farmer practice
  (+100, +130kg/ha)",81.5,9.6,0.8,,9.6,,,,,,
9176138,6,"Split (+100, +65,
  +65kg/ha)",81.4,10.3,0.95,,9.6,,,,,,
9176138,6,"High N (+100, +130,
  +65, +65kg/ha)",81.2,10.6,1.06,,9.6,,,,,,
9176138,7,"Control
  (+100)",,,,5.03,,50.0,,ASW,1660.0,1710.0,340.0
9176138,7,"Farmer
  practice (+100, +130)",,,,5.43,,115.0,,ASW,1730.0,1845.0,340.0
9176138,7,"Split
  (+100, +65, +65)",,,,5.34,,115.0,,APW2,1699.0,1814.0,340.0
9176138,7,"High N (+100,
  +130, +65, +$65)",,,,5.29,,147.5,,APW1,1660.0,1807.0,342.0
