field_trial_id,Table number,Treatment 1,Grain yield (t/ha).1,Cost ($/ha),Soil strength (kPa),pH CaCl2 (pH),Return on investment compared to control ($/ha),Net 2-year benefit ($/ha),Treatment Cost ($/ha),Depth (cm).1,Net 1-year benefit ($/ha)
AVP0003A,1,Control,,0.0,,,,,,,
AVP0003A,1,"3
  t/ha lime",,188.6,,,,,,,
AVP0003A,1,"3
  t/ha lime + disc",,199.6,,,,,,,
AVP0003A,1,3 t/ha lime + rip,,227.1,,,,,,,
AVP0003A,1,"3 t/ha lime + rip
  + spade",,302.2,,,,,,,
AVP0003A,1,6 t/ha lime,,377.1,,,,,,,
AVP0003A,1,6 t/ha lime + disc,,388.1,,,,,,,
AVP0003A,1,"6
  t/ha lime + rip",,415.6,,,,,,,
AVP0003A,1,"6
  t/ha lime + rip + spade",,490.8,,,,,,,
AVP0003A,1,"Disc
  only",,11.0,,,,,,,
AVP0003A,1,Rip only,,38.5,,,,,,,
AVP0003A,1,Rip + Spade only,,113.7,,,,,,,
AVP0003A,2,Control,,,0.0,,,,,0.0,
AVP0003A,2,Control,,,3600.0,,,,,10.0,
AVP0003A,2,Control,,,5000.0,,,,,20.0,
AVP0003A,2,Control,,,4600.0,,,,,30.0,
AVP0003A,2,Control,,,3000.0,,,,,40.0,
AVP0003A,2,Control,,,2500.0,,,,,50.0,
AVP0003A,2,Deep Rip,,,0.0,,,,,0.0,
AVP0003A,2,Deep Rip,,,500.0,,,,,10.0,
AVP0003A,2,Deep Rip,,,600.0,,,,,20.0,
AVP0003A,2,Deep Rip,,,550.0,,,,,30.0,
AVP0003A,2,Deep Rip,,,600.0,,,,,40.0,
AVP0003A,2,Deep Rip,,,800.0,,,,,50.0,
AVP0003A,3,Control,,,,6.5,,,,0.0,
AVP0003A,3,Control,,,,5.0,,,,10.0,
AVP0003A,3,Control,,,,4.5,,,,20.0,
AVP0003A,3,Control,,,,4.0,,,,30.0,
AVP0003A,3,Control,,,,4.0,,,,40.0,
AVP0003A,3,Control,,,,4.0,,,,50.0,
AVP0003A,3,Deep Rip,,,,6.4,,,,0.0,
AVP0003A,3,Deep Rip,,,,5.5,,,,10.0,
AVP0003A,3,Deep Rip,,,,5.0,,,,20.0,
AVP0003A,3,Deep Rip,,,,4.4,,,,30.0,
AVP0003A,3,Deep Rip,,,,4.0,,,,40.0,
AVP0003A,3,Deep Rip,,,,4.0,,,,50.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,5.6,,,,0.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,5.4,,,,10.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,5.0,,,,20.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,4.8,,,,30.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,4.6,,,,40.0,
AVP0003A,3,Deep Rip + Spade + 6t Lime,,,,4.4,,,,50.0,
AVP0003A,4,Control,0.45,,,,,,,,
AVP0003A,4,"3
  t/ha lime",0.5,,,,,,,,
AVP0003A,4,"3
  t/ha lime + disc",0.65,,,,,,,,
AVP0003A,4,3 t/ha lime + rip,1.1,,,,,,,,
AVP0003A,4,"3 t/ha lime + rip
  + spade",0.1,,,,,,,,
AVP0003A,4,6 t/ha lime,0.5,,,,,,,,
AVP0003A,4,6 t/ha lime + disc,0.65,,,,,,,,
AVP0003A,4,"6
  t/ha lime + rip",1.2,,,,,,,,
AVP0003A,4,"6
  t/ha lime + rip + spade",0.15,,,,,,,,
AVP0003A,4,"Disc
  only",0.65,,,,,,,,
AVP0003A,4,Rip only,1.0,,,,,,,,
AVP0003A,4,Rip + Spade only,0.15,,,,,,,,
AVP0003A,5,Control,3.08,,,,,,,,
AVP0003A,5,"3
  t/ha lime",2.89,,,,,,,,
AVP0003A,5,"3
  t/ha lime + disc",3.02,,,,,,,,
AVP0003A,5,3 t/ha lime + rip,3.5,,,,,,,,
AVP0003A,5,"3 t/ha lime + rip
  + spade",3.54,,,,,,,,
AVP0003A,5,6 t/ha lime,3.02,,,,,,,,
AVP0003A,5,6 t/ha lime + disc,2.91,,,,,,,,
AVP0003A,5,"6
  t/ha lime + rip",4.04,,,,,,,,
AVP0003A,5,"6
  t/ha lime + rip + spade",3.35,,,,,,,,
AVP0003A,5,"Disc
  only",3.03,,,,,,,,
AVP0003A,5,Rip only,3.91,,,,,,,,
AVP0003A,5,Rip + Spade only,3.75,,,,,,,,
AVP0003A,6,Control,,,,,0.0,0.0,0.0,,0.0
AVP0003A,6,"3
  t/ha lime",,,,,-256.0,-92.0,188.6,,25.0
AVP0003A,6,"3
  t/ha lime + disc",,,,,-129.0,-29.0,199.6,,100.0
AVP0003A,6,3 t/ha lime + rip,,,,,310.0,212.0,227.1,,325.0
AVP0003A,6,"3 t/ha lime + rip
  + spade",,,,,-245.0,232.0,302.2,,-175.0
AVP0003A,6,6 t/ha lime,,,,,-382.0,-30.0,377.1,,25.0
AVP0003A,6,6 t/ha lime + disc,,,,,-370.0,-82.0,388.1,,100.0
AVP0003A,6,"6
  t/ha lime + rip",,,,,442.0,483.0,415.6,,375.0
AVP0003A,6,"6
  t/ha lime + rip + spade",,,,,-505.0,136.0,490.8,,-150.0
AVP0003A,6,"Disc
  only",,,,,64.0,-25.0,11.0,,100.0
AVP0003A,6,Rip only,,,,,655.0,418.0,38.5,,275.0
AVP0003A,6,Rip + Spade only,,,,,73.0,337.0,113.7,,-150.0
