field_trial_id,Table number,Treatment 1,Grain yield (t/ha),pH CaCl2 (pH)
SCF_P20_ Soil Amelioration,1,Conrol,,4.75
SCF_P20_ Soil Amelioration,1,"Deep rip, nil lime",,4.55
SCF_P20_ Soil Amelioration,1,"Deep rip, 12t/ha farmer lime",,6.15
SCF_P20_ Soil Amelioration,1,Deep rip- 5t/ha Commercial lime,,6.4
SCF_P20_ Soil Amelioration,1,"Nil rip, 5t/ha Commercial lime",,6.35
SCF_P20_ Soil Amelioration,1,"Deep rip, nil lime",,4.3
SCF_P20_ Soil Amelioration,1,Deep rip + 5t/ha Commercial lime,,6.15
SCF_P20_ Soil Amelioration,1,Deep rip + 12t/ha Farmer lime,,5.25
SCF_P20_ Soil Amelioration,1,Nil rip + 5t/ha Commercial lime,,4.4
SCF_P20_ Soil Amelioration,1,Control,,4.2
SCF_P20_ Soil Amelioration,2,"Deep rip, nil lime",4.93,
SCF_P20_ Soil Amelioration,2,Deep rip + 5t/ha Commercial lime,4.4,
SCF_P20_ Soil Amelioration,2,Deep rip + 12t/ha Farmer lime,5.23,
SCF_P20_ Soil Amelioration,2,Nil rip + 5t/ha Commercial lime,4.29,
SCF_P20_ Soil Amelioration,2,Nil Rip- Nil Lime,5.49,
SCF_P20_ Soil Amelioration,2,"Deep rip, nil lime",2.46,
SCF_P20_ Soil Amelioration,2,Deep rip + 5t/ha Commercial lime,2.51,
SCF_P20_ Soil Amelioration,2,Deep rip + 12t/ha Farmer lime,2.47,
SCF_P20_ Soil Amelioration,2,Nil rip + 5t/ha Commercial lime,2.37,
SCF_P20_ Soil Amelioration,2,Nil Rip- Nil Lime,1.95,
