field_trial_id,Table number,Treatment 1,Grain yield (t/ha),P units applied (kg/ha),P balance (kg/ha),Cumulative P removal (kg/ha),cumulative Yield (t/ha)
SCF_PrestonP,1,40kg/ha,1.4,,,,
SCF_PrestonP,1,60kg/ha,1.48,,,,
SCF_PrestonP,1,80g/ha,1.67,,,,
SCF_PrestonP,1,100kg/ha,1.81,,,,
SCF_PrestonP,1,120kg/ha,1.73,,,,
SCF_PrestonP,1,140kg/ha,1.85,,,,
SCF_PrestonP,1,40kg/ha,5.5,,,,
SCF_PrestonP,1,60kg/ha,5.65,,,,
SCF_PrestonP,1,80g/ha,5.74,,,,
SCF_PrestonP,1,100kg/ha,6.01,,,,
SCF_PrestonP,1,120kg/ha,5.76,,,,
SCF_PrestonP,1,140kg/ha,6.06,,,,
SCF_PrestonP,1,40kg/ha,2.18,,,,
SCF_PrestonP,1,60kg/ha,2.03,,,,
SCF_PrestonP,1,80g/ha,2.41,,,,
SCF_PrestonP,1,100kg/ha,2.56,,,,
SCF_PrestonP,1,120kg/ha,2.52,,,,
SCF_PrestonP,1,140kg/ha,2.49,,,,
SCF_PrestonP,1,40kg/ha,5.28,,,,
SCF_PrestonP,1,60kg/ha,5.16,,,,
SCF_PrestonP,1,80g/ha,5.22,,,,
SCF_PrestonP,1,100kg/ha,5.37,,,,
SCF_PrestonP,1,120kg/ha,5.12,,,,
SCF_PrestonP,1,140kg/ha,5.35,,,,
SCF_PrestonP,2,40kg/ha,,24.0,-27.0,52.0,14.36
SCF_PrestonP,2,60kg/ha,,36.0,-14.0,51.0,14.32
SCF_PrestonP,2,80kg/ha,,48.0,0.0,55.0,15.04
SCF_PrestonP,2,100kg/ha,,60.0,4.0,57.0,15.75
SCF_PrestonP,2,120kg/ha,,72.0,15.0,58.0,15.13
SCF_PrestonP,2,140kg/ha,,84.0,26.0,59.0,15.75
